State (FIPS Code),County of current residence,Census Tract,Geographic Identifier,Area Name,Tribal Tract,Median Family Income (In 2021 Inflation Adjusted Dollars),Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races,Civilian Population 16 to 19 Years:,"Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)",Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under .50,Population for Whom Poverty Status Is Determined: .50 to .74,Population for Whom Poverty Status Is Determined: .75 to .99,Population for Whom Poverty Status Is Determined: 1.00 to 1.49,Population for Whom Poverty Status Is Determined: 1.50 to 1.99,Population for Whom Poverty Status Is Determined: 2.00 and Over,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level
Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,SE_A14010_001,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
17,031,040800,14000US17031040800,Census Tract 408,,144185,1689,1689,1393,32,0,86,0,56,122,1689,1449,1218,32,0,86,0,0,113,240,175,0,0,0,0,56,9,32,0,32,1624,47,0,19,18,82,1458,206,0,206
17,031,040900,14000US17031040900,Census Tract 409,,173438,1816,1816,1661,11,0,59,0,10,75,1816,1702,1577,11,0,59,0,0,55,114,84,0,0,0,0,10,20,91,0,91,1816,70,0,22,9,179,1536,178,0,178
17,031,050100,14000US17031050100,Census Tract 501,,183750,2769,2769,2359,62,0,121,0,58,169,2769,2620,2339,62,0,121,0,0,98,149,20,0,0,0,0,58,71,33,11,22,2769,82,0,41,80,130,2436,560,0,560
17,031,050200,14000US17031050200,Census Tract 502,,215344,5915,5915,4681,62,0,310,44,85,733,5915,5081,4269,62,0,310,44,67,329,834,412,0,0,0,0,18,404,150,0,150,5915,148,19,60,192,73,5423,1706,36,1670
17,031,050300,14000US17031050300,Census Tract 503,,194267,2755,2755,1780,16,0,468,0,111,380,2755,2266,1568,16,0,468,0,0,214,489,212,0,0,0,0,111,166,73,0,73,2755,45,27,72,25,42,2544,689,42,647
17,031,050500,14000US17031050500,Census Tract 505,,200714,5587,5587,4674,2,0,437,0,161,313,5587,5252,4516,2,0,437,0,0,297,335,158,0,0,0,0,161,16,260,9,251,5558,68,1,42,160,207,5080,1675,0,1675
17,031,050600,14000US17031050600,Census Tract 506,,197679,2188,2188,1939,12,0,92,0,63,82,2188,2026,1867,12,0,92,0,0,55,162,72,0,0,0,0,63,27,9,0,9,2188,0,42,56,80,89,1921,373,10,363
17,031,050700,14000US17031050700,Census Tract 507,,195938,1501,1501,1324,0,0,32,0,13,132,1501,1333,1287,0,0,19,0,0,27,168,37,0,0,13,0,13,105,29,0,29,1501,136,7,5,41,28,1284,266,0,266
17,031,050800,14000US17031050800,Census Tract 508,,224205,1439,1439,987,59,2,77,0,48,266,1439,1140,936,59,2,77,0,0,66,299,51,0,0,0,0,48,200,24,0,24,1439,0,9,0,115,127,1188,442,3,439
17,031,050900,14000US17031050900,Census Tract 509,,196250,1532,1532,1269,37,0,49,0,88,89,1532,1322,1170,24,0,49,0,10,69,210,99,13,0,0,0,78,20,10,0,10,1532,12,0,18,133,25,1344,345,0,345
17,031,051000,14000US17031051000,Census Tract 510,,189063,1746,1746,1462,47,0,97,0,34,106,1746,1478,1278,44,0,97,0,2,57,268,184,3,0,0,0,32,49,57,0,57,1746,46,0,14,45,31,1610,468,34,434
17,031,051100,14000US17031051100,Census Tract 511,,186947,1939,1939,1514,22,0,74,0,37,292,1939,1643,1402,22,0,74,0,37,108,296,112,0,0,0,0,0,184,46,0,46,1939,42,0,58,46,0,1793,608,28,580
17,031,051200,14000US17031051200,Census Tract 512,,176250,1564,1564,1303,43,11,60,0,21,126,1564,1442,1221,43,11,60,0,15,92,122,82,0,0,0,0,6,34,67,3,64,1499,42,0,5,23,26,1403,307,14,293
17,031,051300,14000US17031051300,Census Tract 513,,213750,3249,3249,2670,245,0,28,0,122,184,3249,2754,2266,245,0,28,0,93,122,495,404,0,0,0,0,29,62,95,0,95,3249,43,15,21,97,127,2946,1056,0,1056
17,031,051400,14000US17031051400,Census Tract 514,,196000,2428,2428,1756,172,2,308,21,87,82,2428,2170,1635,164,0,308,0,0,63,258,121,8,2,0,21,87,19,81,22,59,2428,109,61,63,69,4,2122,638,43,595
17,031,060100,14000US17031060100,Census Tract 601,,188421,3211,3211,2594,123,0,271,0,0,223,3211,2991,2384,123,0,271,0,0,213,220,210,0,0,0,0,0,10,53,14,39,3211,44,0,46,119,132,2870,857,0,857
17,031,060200,14000US17031060200,Census Tract 602,,192868,2188,2188,1795,46,0,58,0,202,87,2188,1895,1704,46,0,58,0,0,87,293,91,0,0,0,0,202,0,34,0,34,2188,78,59,67,68,67,1849,311,30,281
17,031,060300,14000US17031060300,Census Tract 603,,196691,2902,2902,2271,52,0,215,0,58,306,2902,2426,2106,52,0,215,0,0,53,476,165,0,0,0,0,58,253,26,0,26,2902,91,0,9,102,98,2602,343,0,343
17,031,060400,14000US17031060400,Census Tract 604,,214375,3804,3804,3398,16,0,234,0,94,62,3804,3412,3163,16,0,203,0,0,30,392,235,0,0,31,0,94,32,11,0,11,3747,129,10,19,102,70,3417,823,0,823
